    6.20700E+02    8.20465E+00    2.73378E-04
    6.20800E+02    8.17895E+00    2.80496E-04
    6.20900E+02    7.70928E+00    4.48643E-04
    6.21000E+02    7.33275E+00    6.53775E-04
    6.21100E+02    7.00157E+00    9.10451E-04
    6.21200E+02    6.66004E+00    1.28110E-03
    6.21300E+02    6.30868E+00    1.82043E-03
    6.21400E+02    5.95617E+00    2.58982E-03
    6.21500E+02    5.60967E+00    3.66229E-03
    6.21600E+02    5.27553E+00    5.11523E-03
    6.21700E+02    4.96043E+00    7.00989E-03
    6.21800E+02    4.65750E+00    9.49019E-03
    6.21900E+02    4.37753E+00    1.25563E-02
    6.22000E+02    4.11799E+00    1.62772E-02
    6.22100E+02    3.87870E+00    2.06776E-02
    6.22200E+02    3.65894E+00    2.57598E-02
    6.22300E+02    3.45518E+00    3.15818E-02
    6.22400E+02    3.26930E+00    3.80331E-02
    6.22500E+02    3.09918E+00    4.50863E-02
    6.22600E+02    2.94343E+00    5.26845E-02
    6.22700E+02    2.80092E+00    6.07541E-02
    6.22800E+02    2.67048E+00    6.92193E-02
    6.22900E+02    2.55116E+00    7.79914E-02
    6.23000E+02    2.44188E+00    8.69975E-02
    6.23100E+02    2.34194E+00    9.61411E-02
    6.23200E+02    2.25096E+00    1.05298E-01
    6.23300E+02    2.16885E+00    1.14309E-01
    6.23400E+02    2.09674E+00    1.22857E-01
    6.23500E+02    2.03994E+00    1.30036E-01
    6.23600E+02    2.02804E+00    1.31593E-01
    6.23700E+02    2.24448E+00    1.05982E-01
    6.23800E+02    1.88508E+00    1.51817E-01
    6.23900E+02    1.79259E+00    1.66528E-01
    6.24000E+02    1.73001E+00    1.77282E-01
    6.24100E+02    1.67715E+00    1.86906E-01
    6.24200E+02    1.63046E+00    1.95840E-01
    6.24300E+02    1.58812E+00    2.04310E-01
    6.24400E+02    1.54879E+00    2.12506E-01
    6.24500E+02    1.51239E+00    2.20383E-01
    6.24600E+02    1.47855E+00    2.27968E-01
    6.24700E+02    1.44701E+00    2.35273E-01
    6.24800E+02    1.41760E+00    2.42295E-01
    6.24900E+02    1.39017E+00    2.49033E-01
    6.25000E+02    1.36506E+00    2.55366E-01
    6.25100E+02    1.34239E+00    2.61222E-01
    6.25200E+02    1.32302E+00    2.66331E-01
    6.25300E+02    1.31768E+00    2.67755E-01
    6.25400E+02    1.32526E+00    2.65734E-01
    6.25500E+02    1.26468E+00    2.82330E-01
    6.25600E+02    1.23903E+00    2.89664E-01
    6.25700E+02    1.21836E+00    2.95714E-01
    6.25800E+02    1.20058E+00    3.01019E-01
    6.25900E+02    1.18515E+00    3.05702E-01
    6.26000E+02    1.16808E+00    3.10964E-01
    6.26100E+02    1.15325E+00    3.15609E-01
    6.26200E+02    1.13915E+00    3.20091E-01
    6.26300E+02    1.12601E+00    3.24326E-01
    6.26400E+02    1.11340E+00    3.28439E-01
    6.26500E+02    1.10165E+00    3.32323E-01
    6.26600E+02    1.09054E+00    3.36034E-01
    6.26700E+02    1.08010E+00    3.39561E-01
    6.26800E+02    1.06919E+00    3.43286E-01
    6.26900E+02    1.05940E+00    3.46665E-01
    6.27000E+02    1.05025E+00    3.49850E-01
    6.27100E+02    1.04145E+00    3.52943E-01
    6.27200E+02    1.03340E+00    3.55796E-01
    6.27300E+02    1.02583E+00    3.58500E-01
    6.27400E+02    1.01911E+00    3.60915E-01
    6.27500E+02    1.01299E+00    3.63131E-01
    6.27600E+02    1.00847E+00    3.64776E-01
    6.27700E+02    1.00741E+00    3.65162E-01
    6.27800E+02    1.00170E+00    3.67253E-01
    6.27900E+02    9.87349E-01    3.72563E-01
